batch,source,timeline,k,k_wanted,home,M,rho,verdict,gate_loss,expert_loss,central_loss,deltas
2105,metamath,TA,2,11,3,128,0.5,ADMIT,0.593,0.004,0.101,e29:-0.104;e35*:-0.056
2106,camel_science,TA,2,5,2,2,0.61,REFUSE,,,0.188,e17:-0.719;e25*:-0.469
2107,camel_science,TB,2,7,2,2,0.49,REFUSE,,,0.125,e67:-0.562;e72*:-0.375
2108,slimorca,TB,2,12,1,56,0.57,HELDOUT,,,,e63:+0.029;e65*:+0.042
2109,ai2_arc,TB,2,13,2,3,0.45,HELDOUT,,,,e78:-1.542;e80*:-1.167
2110,slimorca,TB,2,10,2,66,0.38,ADMIT,0.083,-0.02,1.875,e82:-0.239;e9*:-0.261
2111,gsm8k,TB,2,10,3,92,0.5,ADMIT,0.089,-0.004,0.594,e38:-0.110;e56*:-0.150
2112,ai2_arc,TB,2,9,2,8,0.4,ADMIT,0.288,0.026,0.0,e15:-0.227;e17*:-0.625
2113,ultrachat,TB,2,54,1,128,0.56,ADMIT,0.03,,1.062,e75:+0.060;e79*:+0.005
2114,ai2_arc,TB,3,11,2,10,0.37,ADMIT,0.088,-0.123,0.0,e25:-0.244;e67:-0.169;e72*:-0.525
2115,github_code,TB,2,5,1,74,0.52,ADMIT,0.019,0.002,1.258,e83:-0.006;e4*:-0.033
2116,metamath,TA,2,9,2,113,0.45,ADMIT,0.127,,0.114,e78:-0.013;e80*:-0.013
2117,metamath,TB,2,10,3,128,0.47,HELDOUT,,,,e74:-0.055;e86*:-0.095
2118,python_instructions,TB,2,8,1,98,0.59,ADMIT,0.004,0.007,0.613,e18:-0.040;e19*:-0.010
2119,metamath,TA,2,12,0,128,0.47,ADMIT,0.705,,0.312,e14:-0.038;e31*:-0.043
2120,gsm8k,TB,2,9,2,95,0.46,ADMIT,0.104,0.009,0.479,e82:-0.132;e15*:-0.055
2121,ai2_arc,TA,2,12,2,9,0.4,HELDOUT,,,,e17:-0.625;e25*:-0.285
2122,ultrachat,TB,2,36,2,128,0.4,ADMIT,0.685,0.007,1.031,e39:-0.036;e67*:-0.028
2123,ai2_arc,TA,2,14,2,9,0.37,ADMIT,0.426,0.005,0.418,e72:-0.708;e78*:-1.007
2124,camel_science,TA,2,7,2,3,0.53,HELDOUT,,,,e80:-0.042;e82*:-0.042
2125,metamath,TB,2,9,3,78,0.47,ADMIT,0.166,0.005,0.07,e87:-0.095;e89*:-0.095
2126,slimorca,TB,2,12,1,128,0.43,ADMIT,0.601,,0.902,e59:-0.037;e63*:-0.022
2127,python_instructions,TB,2,5,1,29,0.61,ADMIT,0.263,,0.379,e65:-0.047;e75*:-0.168
2128,python_instructions,TB,2,8,1,40,0.61,ADMIT,0.808,,0.594,e79:+0.038;e83*:+0.086
2129,python_instructions,TB,2,11,1,70,0.6,ADMIT,0.353,-0.006,0.135,e4:+0.004;e18*:-0.022
2130,python_instructions,TB,2,11,1,50,0.61,ADMIT,0.633,-0.018,0.357,e19:+0.030;e59*:+0.034
2131,ai2_arc,TA,2,10,2,8,0.4,ADMIT,0.29,0.025,0.0,e15:-0.555;e17*:-0.078
2132,slimorca,TB,2,30,3,5,0.37,HELDOUT,,,,e9:-0.263;e11*:-1.212
2133,python_instructions,TB,2,9,1,22,0.61,ADMIT,0.179,-0.011,0.906,e63:+0.011;e65*:+0.009
2134,github_code,TB,2,8,1,14,0.59,ADMIT,0.018,-0.007,0.578,e75:-0.049;e79*:-0.009
2135,python_instructions,TB,2,5,1,62,0.59,HELDOUT,,,,e83:-0.007;e4*:+0.018
2136,camel_science,TA,2,5,2,3,0.45,REFUSE,,,3.094,e25:+0.562;e39*:+1.000
2137,github_code,TB,2,4,1,50,0.6,HELDOUT,,,,e18:+0.054;e19*:+0.039
2138,camel_science,TB,2,4,2,3,0.53,REFUSE,,,0.0,e67:-2.000;e72*:-0.854
2139,ai2_arc,TB,2,10,2,5,0.42,ADMIT,1.255,,0.527,e78:-1.113;e80*:-0.863
2140,ultrachat,TA,2,39,3,128,0.42,ADMIT,0.604,-0.013,1.273,e35:+0.004;e38*:+0.004
2141,camel_science,TA,2,4,2,3,0.53,REFUSE,,,0.209,e82:-0.812;e15*:-0.542
2142,slimorca,TA,2,12,2,72,0.47,ADMIT,0.102,0.003,0.945,e17:-0.141;e25*:-0.142
2143,metamath,TB,2,8,3,128,0.55,ADMIT,1.614,,0.271,e56:-0.018;e74*:+0.014
2144,github_code,TB,2,9,1,88,0.61,ADMIT,0.083,,0.206,e59:-0.002;e63*:+0.003
2145,slimorca,TB,2,31,2,54,0.42,ADMIT,0.036,,0.486,e39:-0.124;e67*:-0.236
2146,metamath,TB,2,12,0,128,0.46,HELDOUT,,,,e40:-0.109;e44*:-0.034
2147,ai2_arc,TA,2,7,2,3,0.37,REFUSE,,,0.0,e72:-0.354;e78*:-0.354
2148,slimorca,TB,2,10,2,128,0.43,ADMIT,0.404,0.012,1.367,e80:-0.042;e82*:-0.053
2149,python_instructions,TB,2,4,1,128,0.6,HELDOUT,,,,e65:-0.017;e75*:+0.001
2150,ai2_arc,TB,2,15,2,17,0.37,ADMIT,0.209,,0.0,e15:-0.107;e17*:-0.107
2151,ai2_arc,TA,2,11,2,8,0.4,HELDOUT,,,,e25:-0.188;e39*:-0.188
2152,github_code,TB,2,6,1,11,0.61,ADMIT,0.072,,1.031,e79:-0.108;e83*:-0.102
2153,gsm8k,TB,2,9,0,128,0.54,ADMIT,0.06,,0.203,e55:-0.036;e58*:-0.037
2154,github_code,TB,2,4,1,106,0.56,HELDOUT,,,,e4:-0.004;e18*:-0.006
2155,gsm8k,TB,2,12,0,128,0.48,ADMIT,0.625,,0.445,e61:-0.107;e96*:-0.113
2156,python_instructions,TB,2,8,1,128,0.61,ADMIT,0.271,,0.195,e19:+0.000;e59*:+0.000
2157,ai2_arc,TB,2,15,2,14,0.37,ADMIT,0.03,0.013,0.0,e67:-0.214;e72*:-0.366
2158,gsm8k,TB,2,13,3,128,0.53,HELDOUT,,,,e86:-0.041;e87*:-0.066
2159,slimorca,TB,2,32,2,25,0.41,ADMIT,0.043,0.005,0.055,e78:-0.200;e80*:-0.128
2160,ai2_arc,TA,2,8,2,2,0.49,HELDOUT,,,,e82:-0.312;e15*:-0.188
2161,camel_science,TA,2,6,2,1,0.61,HELDOUT,,,,e17:-1.500;e25*:-3.250
2162,ai2_arc,TB,2,12,2,6,0.41,ADMIT,0.09,0.038,0.0,e39:-0.594;e67*:-0.448
2163,gsm8k,TB,2,8,3,48,0.49,ADMIT,1.265,0.024,0.844,e89:-0.186;e9*:-0.186
2164,ultrachat,TB,2,40,2,108,0.43,ADMIT,0.529,,1.586,e72:-0.045;e78*:-0.025
2165,ultrachat,TB,4,43,1,128,0.57,HELDOUT,,,,e63:-0.026;e65:-0.012;e75:-0.104;e79*:-0.023
2166,metamath,TB,4,4,1,128,0.59,ADMIT,0.404,,0.123,e83:-0.043;e4:+0.018;e18:+0.018;e19*:-0.097
2167,gsm8k,TA,2,8,0,89,0.49,ADMIT,0.577,,0.633,e97:-0.077;e14*:-0.133
2168,slimorca,TB,2,13,2,29,0.41,ADMIT,0.725,,1.008,e31:-0.129;e40*:-0.019
2169,camel_science,TA,2,5,2,3,0.45,REFUSE,,,2.75,e80:-0.792;e82*:-0.792
2170,camel_science,TB,2,7,2,1,0.61,HELDOUT,,,,e15:-1.125;e17*:-1.188
2171,ultrachat,TA,2,42,2,128,0.39,ADMIT,0.267,,1.07,e25:-0.035;e39*:-0.004
2172,camel_science,TB,2,7,2,3,0.61,HELDOUT,,,,e67:-0.458;e72*:-0.458
2173,gsm8k,TB,2,13,0,121,0.53,HELDOUT,,,,e44:-0.088;e55*:-0.075
2174,python_instructions,TB,2,7,1,128,0.61,HELDOUT,,,,e59:+0.008;e63*:+0.010
2175,ai2_arc,TA,2,7,2,3,0.48,REFUSE,,,0.0,e78:-0.917;e80*:-1.000
2176,ultrachat,TA,2,14,2,128,0.43,ADMIT,0.825,,0.992,e82:-0.105;e15*:-0.057
2177,ultrachat,TA,2,36,2,32,0.49,HELDOUT,,,,e17:-0.076;e25*:-0.176
2178,slimorca,TB,2,13,2,127,0.41,ADMIT,0.55,0.021,1.047,e39:-0.168;e67*:-0.086
2179,ultrachat,TA,3,45,2,128,0.42,ADMIT,0.188,,1.32,e72:-0.031;e78:-0.070;e80*:-0.033
2180,camel_science,TB,3,7,2,4,0.49,ADMIT,0.131,,0.0,e82:-0.062;e15:-0.062;e17*:-0.094
2181,metamath,TB,3,12,3,128,0.53,ADMIT,0.91,,0.443,e11:-0.025;e35:-0.021;e38*:-0.021
2182,gsm8k,TB,3,10,3,128,0.44,HELDOUT,,,,e56:-0.018;e74:-0.082;e86*:-0.018
2183,ai2_arc,TB,3,11,2,3,0.45,REFUSE,,,0.042,e25:-2.729;e39:-1.083;e67*:-0.854
2184,gsm8k,TB,3,7,3,79,0.56,ADMIT,0.21,,0.434,e87:-0.025;e89:-0.032;e9*:-0.040
2185,python_instructions,TB,3,6,1,52,0.56,HELDOUT,,,,e65:-0.049;e75:-0.047;e79*:-0.001
2186,github_code,TB,3,7,1,12,0.61,HELDOUT,,,,e83:-0.062;e4:-0.052;e18*:-0.036
2187,camel_science,TA,3,4,2,5,0.47,ADMIT,0.32,-0.002,0.2,e72:-0.512;e78:-0.575;e80*:-0.912
2188,python_instructions,TB,3,14,1,128,0.59,ADMIT,0.29,,2.766,e19:+0.002;e59:-0.027;e63*:-0.000
2189,ultrachat,TA,3,47,2,128,0.4,ADMIT,0.059,,1.602,e82:-0.011;e15:+0.002;e17*:-0.100
2190,ultrachat,TB,3,27,2,128,0.4,ADMIT,0.062,-0.003,0.957,e25:-0.052;e39:-0.100;e67*:-0.010
2191,gsm8k,TB,3,9,0,128,0.54,HELDOUT,,,,e58:-0.050;e61:-0.020;e96*:-0.025
2192,gsm8k,TB,3,8,3,120,0.5,ADMIT,0.448,,0.633,e11:-0.123;e35:-0.027;e38*:-0.180
2193,github_code,TB,2,3,1,86,0.47,ADMIT,0.528,-0.013,1.562,e65:-0.012;e75*:-0.012
2194,ai2_arc,TA,3,11,2,7,0.41,ADMIT,0.17,0.008,0.0,e72:-0.286;e78:-0.250;e80*:-0.250
2195,slimorca,TA,3,26,2,13,0.39,HELDOUT,,,,e82:-0.452;e15:-0.139;e17*:-0.231
2196,camel_science,TA,2,4,2,4,0.61,ADMIT,0.633,-0.079,1.188,e25:+0.312;e39*:+0.859
2197,camel_science,TB,3,5,2,1,0.61,REFUSE,,,0.75,e67:-6.875;e72:+0.625;e78*:-8.188
2198,ai2_arc,TB,3,9,2,3,0.37,HELDOUT,,,,e80:-2.125;e82:-2.188;e15*:-0.979
2199,gsm8k,TA,3,8,0,110,0.51,ADMIT,0.144,0.002,0.432,e97:-0.127;e14:-0.070;e31*:-0.045
2200,ultrachat,TA,3,52,2,128,0.39,ADMIT,0.168,-0.047,1.297,e17:-0.072;e25:-0.059;e39*:-0.052
2201,gsm8k,TB,3,8,0,128,0.51,ADMIT,1.106,,0.809,e40:+0.003;e44:+0.005;e55*:-0.004
2202,metamath,TB,3,8,3,95,0.47,ADMIT,0.475,0.017,0.516,e56:-0.093;e74:+0.005;e86*:-0.036
2203,ultrachat,TB,3,42,1,128,0.39,HELDOUT,,,,e79:-0.032;e83:+0.005;e4*:-0.042
2204,ai2_arc,TB,3,9,2,1,0.61,REFUSE,,,0.0,e67:-0.250;e72:-1.375;e78*:-0.375
2205,ultrachat,TB,3,38,2,128,0.39,ADMIT,0.126,,1.578,e80:+0.002;e82:-0.067;e15*:-0.002
2206,ai2_arc,TA,3,11,2,8,0.4,ADMIT,0.475,0.003,0.047,e17:-0.219;e25:-0.219;e39*:-0.219
2207,python_instructions,TB,2,4,1,92,0.59,ADMIT,0.423,-0.002,0.824,e18:+0.003;e19*:+0.007
2208,ai2_arc,TB,3,7,2,3,0.53,HELDOUT,,,,e67:-0.542;e72:-0.542;e78*:-1.042
2209,slimorca,TB,3,34,3,14,0.42,HELDOUT,,,,e87:-0.411;e89:-0.379;e9*:-0.143
2210,github_code,TB,2,3,1,6,0.61,ADMIT,1.625,-0.261,0.668,e59:-0.448;e63*:-0.010
2211,ultrachat,TA,3,45,2,128,0.43,ADMIT,0.224,,2.156,e80:-0.028;e82:-0.053;e15*:-0.016
2212,metamath,TB,3,14,0,128,0.49,HELDOUT,,,,e58:-0.023;e61:-0.020;e96*:-0.023
2213,metamath,TB,3,12,1,81,0.54,HELDOUT,,,,e65:-0.034;e75:-0.109;e79*:-0.086
2214,slimorca,TA,3,20,2,64,0.39,ADMIT,0.218,,0.93,e17:-0.036;e25:-0.111;e39*:-0.111
2215,gsm8k,TB,3,9,3,128,0.54,ADMIT,0.28,,0.508,e11:-0.055;e35:-0.029;e38*:-0.096
2216,ultrachat,TB,3,54,2,128,0.39,ADMIT,0.08,0.012,1.539,e67:-0.047;e72:-0.028;e78*:-0.001
2217,camel_science,TA,2,5,2,3,0.45,REFUSE,,,1.336,e80:-0.021;e82*:-0.333
2218,gsm8k,TA,3,12,0,128,0.52,HELDOUT,,,,e97:-0.062;e14:-0.040;e31*:-0.062
2219,ai2_arc,TB,3,9,2,5,0.42,ADMIT,0.902,-0.013,0.0,e15:-0.200;e17:-0.225;e25*:-1.650
2220,gsm8k,TB,3,13,0,117,0.51,ADMIT,0.91,0.013,0.625,e44:-0.096;e49:-0.060;e55*:-0.119
2221,ai2_arc,TB,3,13,2,8,0.4,HELDOUT,,,,e39:-0.828;e67:-0.469;e72*:-0.414
2222,github_code,TB,2,3,1,36,0.58,HELDOUT,,,,e83:+0.017;e4*:-0.005
2223,ai2_arc,TA,3,11,2,5,0.37,ADMIT,0.357,0.009,0.0,e78:-0.438;e80:-0.400;e82*:-0.425
2224,slimorca,TB,3,12,2,21,0.4,ADMIT,0.312,-0.017,1.336,e15:-0.342;e17:-0.205;e31*:-0.426
2225,camel_science,TB,2,6,2,4,0.55,ADMIT,1.972,,0.094,e39:-1.156;e67*:+0.031
2226,github_code,TB,2,5,1,63,0.59,ADMIT,0.055,,0.691,e18:-0.049;e19*:+0.016
2227,ai2_arc,TA,2,9,2,5,0.47,ADMIT,0.168,-0.03,0.05,e72:-0.237;e78*:-0.237
2228,ai2_arc,TB,3,11,2,15,0.42,ADMIT,0.203,-0.02,0.101,e80:-0.117;e82:-0.129;e15*:-0.071
2229,ai2_arc,TA,3,12,2,11,0.4,ADMIT,0.317,0.041,0.0,e17:-0.301;e31:-0.062;e39*:-0.205
2230,metamath,TB,2,9,1,75,0.59,ADMIT,1.257,,0.183,e59:-0.066;e63*:-0.072
2231,python_instructions,TB,2,5,1,90,0.61,ADMIT,0.283,,0.461,e65:+0.019;e75*:+0.055
2232,ai2_arc,TB,3,11,2,9,0.4,ADMIT,0.129,0.083,0.153,e67:-0.424;e72:-0.062;e78*:-0.333
2233,python_instructions,TB,3,8,1,67,0.56,HELDOUT,,,,e79:-0.059;e83:-0.007;e4*:-0.102
2234,slimorca,TB,3,21,2,110,0.39,HELDOUT,,,,e80:+0.002;e82:-0.098;e15*:-0.107
2235,gsm8k,TB,3,10,3,128,0.49,HELDOUT,,,,e56:+0.007;e74:+0.015;e86*:+0.009
2236,ultrachat,TA,3,23,2,128,0.39,ADMIT,0.077,0.006,0.875,e17:-0.071;e31:-0.102;e39*:-0.117
2237,ai2_arc,TB,3,7,2,1,0.61,HELDOUT,,,,e67:-5.375;e72:-2.312;e78*:-0.750
2238,camel_science,TA,2,3,2,2,0.61,REFUSE,,,0.0,e80:-0.344;e82*:-0.344
2239,camel_science,TB,2,4,2,2,0.49,HELDOUT,,,,e15:+0.844;e17*:+1.531
2240,ai2_arc,TB,3,8,2,3,0.45,REFUSE,,,1.922,e39:+0.333;e67:-0.021;e72*:+0.208
2241,python_instructions,TB,3,8,1,30,0.61,HELDOUT,,,,e18:-0.133;e19:-0.108;e59*:-0.108
2242,github_code,TB,2,5,1,13,0.59,ADMIT,0.036,0.024,1.055,e63:-0.005;e65*:-0.005
2243,metamath,TB,3,8,0,128,0.51,ADMIT,1.208,-0.008,0.184,e58:-0.084;e61:-0.073;e96*:-0.034
2244,camel_science,TA,2,5,2,1,0.61,REFUSE,,,10.062,e78:+3.125;e80*:+3.188
2245,python_instructions,TB,2,3,1,61,0.61,ADMIT,0.025,,0.225,e75:-0.012;e79*:-0.018
2246,gsm8k,TA,3,10,0,68,0.58,HELDOUT,,,,e97:+0.040;e14:+0.012;e31*:+0.040
2247,metamath,TA,2,6,2,128,0.54,ADMIT,0.244,,0.32,e82:-0.021;e93*:-0.044
2248,camel_science,TB,2,3,2,1,0.61,REFUSE,,,3.688,e15:+0.688;e17*:+1.188
2249,slimorca,TB,3,18,2,84,0.38,ADMIT,0.409,-0.002,1.797,e40:-0.085;e44:-0.154;e55*:-0.080
2250,python_instructions,TB,2,8,1,30,0.6,ADMIT,0.275,0.003,0.715,e83:-0.079;e4*:-0.052
2251,metamath,TB,2,6,1,53,0.52,ADMIT,0.014,,0.14,e18:-0.075;e19*:-0.061
2252,ultrachat,TB,3,36,2,128,0.41,HELDOUT,,,,e39:+0.000;e67:-0.011;e72*:-0.054
2253,camel_science,TA,2,4,2,2,0.38,REFUSE,,,0.125,e78:-0.594;e80*:-0.594
2254,ultrachat,TA,3,38,2,128,0.39,ADMIT,0.075,0.003,0.453,e82:-0.046;e93:-0.023;e15*:-0.034
2255,github_code,TB,2,6,1,29,0.54,ADMIT,0.237,-0.004,0.559,e59:-0.024;e63*:+0.013
2256,github_code,TB,2,7,1,35,0.58,ADMIT,0.251,0.054,0.312,e65:-0.259;e75*:+0.064
2257,slimorca,TB,3,35,3,29,0.42,ADMIT,0.171,0.015,0.297,e87:-0.284;e89:-0.481;e9*:-0.485
2258,slimorca,TB,3,22,2,53,0.41,HELDOUT,,,,e17:-0.012;e39:-0.164;e67*:-0.077
2259,github_code,TB,2,4,1,14,0.61,ADMIT,0.274,0.02,0.773,e79:-0.080;e83*:-0.250
2260,ultrachat,TA,3,31,2,128,0.38,HELDOUT,,,,e72:-0.130;e78:-0.028;e80*:-0.104
2261,metamath,TA,2,8,0,120,0.49,ADMIT,0.116,,0.108,e58:-0.117;e61*:-0.146
2262,metamath,TB,2,11,0,128,0.45,HELDOUT,,,,e96:-0.026;e97*:-0.019
2263,ai2_arc,TB,2,9,2,1,0.37,REFUSE,,,0.875,e82:-0.312;e89*:-1.938
2264,ultrachat,TA,3,23,2,128,0.4,ADMIT,0.149,-0.006,2.297,e15:-0.016;e17:-0.064;e39*:-0.078
2265,gsm8k,TB,4,9,3,62,0.52,ADMIT,0.153,0.018,0.256,e11:-0.167;e35:-0.214;e38:-0.182;e56*:-0.068
2266,metamath,TB,4,9,2,89,0.45,ADMIT,0.258,0.005,0.238,e67:-0.079;e72:-0.070;e78:-0.070;e80*:-0.079
2267,ultrachat,TA,4,40,3,128,0.42,ADMIT,0.042,-0.048,1.477,e71:-0.054;e74:-0.037;e86:-0.041;e87*:-0.079
2268,python_instructions,TB,4,6,1,107,0.61,ADMIT,0.207,,0.695,e4:+0.005;e18:-0.025;e19:-0.025;e59*:+0.009
2269,github_code,TB,2,5,1,29,0.6,ADMIT,0.459,,0.605,e63:-0.062;e65*:-0.172
2270,camel_science,TA,2,6,2,2,0.49,REFUSE,,,0.0,e82:-4.375;e89*:-2.312
2271,camel_science,TA,2,6,2,2,0.49,REFUSE,,,0.0,e15:-0.188;e17*:-1.344
2272,slimorca,TB,2,25,3,23,0.41,ADMIT,0.513,-0.006,1.141,e9:-0.649;e11*:-0.565
2273,slimorca,TB,2,10,2,128,0.4,HELDOUT,,,,e39:+0.031;e67*:+0.054
2274,ultrachat,TA,2,19,2,128,0.38,ADMIT,0.181,,1.164,e72:-0.091;e78*:-0.163
2275,ai2_arc,TA,2,9,2,4,0.43,ADMIT,0.257,0.041,0.0,e80:-0.750;e82*:-0.719
2276,ai2_arc,TB,2,10,2,6,0.37,HELDOUT,,,,e89:-0.062;e15*:-0.042
2277,slimorca,TA,2,25,3,12,0.41,HELDOUT,,,,e35:-0.297;e38*:-0.542
2278,python_instructions,TB,2,9,1,44,0.61,HELDOUT,,,,e75:-0.028;e79*:-0.107
2279,gsm8k,TB,2,10,3,128,0.48,ADMIT,0.558,-0.009,0.371,e56:-0.035;e71*:-0.049
2280,ai2_arc,TB,2,10,2,8,0.37,ADMIT,0.006,0.039,0.031,e15:-0.344;e39*:-0.242
2281,camel_science,TB,2,6,2,2,0.61,REFUSE,,,0.0,e67:-0.250;e72*:-0.250
2282,ai2_arc,TA,2,11,2,8,0.37,ADMIT,0.075,-0.05,0.141,e78:-0.008;e80*:-0.211
2283,ai2_arc,TB,2,10,2,15,0.37,HELDOUT,,,,e82:-0.192;e89*:-0.317
2284,slimorca,TB,2,11,2,22,0.44,HELDOUT,,,,e11:+0.139;e15*:+0.003
2285,gsm8k,TA,2,10,3,128,0.51,ADMIT,0.922,-0.007,0.527,e74:-0.023;e86*:-0.113
2286,metamath,TA,2,10,0,128,0.48,HELDOUT,,,,e14:-0.100;e31*:-0.104
2287,ai2_arc,TB,2,7,2,2,0.49,HELDOUT,,,,e39:-0.312;e67*:-1.375
2288,metamath,TA,2,11,0,113,0.47,HELDOUT,,,,e40:-0.069;e44*:-0.044
2289,camel_science,TA,2,5,2,3,0.53,REFUSE,,,0.293,e72:-0.479;e78*:-1.500
2290,ai2_arc,TA,2,12,2,2,0.61,HELDOUT,,,,e80:-0.906;e82*:-2.000
2291,metamath,TB,2,9,1,128,0.56,ADMIT,0.051,,0.125,e83:-0.012;e4*:-0.012
2292,github_code,TB,2,8,1,111,0.6,ADMIT,0.01,,0.264,e18:-0.009;e19*:+0.001
2293,github_code,TB,2,5,1,128,0.61,ADMIT,0.369,,0.605,e59:-0.026;e63*:-0.013
2294,ai2_arc,TA,2,10,2,3,0.45,REFUSE,,,0.042,e89:-1.083;e11*:-0.625
2295,camel_science,TA,2,4,2,2,0.49,REFUSE,,,3.531,e15:-0.562;e39*:-2.500
2296,ai2_arc,TB,2,9,2,4,0.43,ADMIT,0.148,,0.0,e67:-0.062;e72*:-0.062
2297,github_code,TB,2,9,1,88,0.61,ADMIT,0.035,,0.449,e65:+0.039;e75*:+0.048
2298,ai2_arc,TA,2,11,2,10,0.44,ADMIT,0.008,-0.015,0.0,e78:-0.194;e80*:-0.188
2299,ai2_arc,TB,2,8,2,2,0.49,REFUSE,,,0.625,e82:-0.656;e89*:-1.906
2300,ultrachat,TB,2,29,2,128,0.38,ADMIT,0.038,0.017,1.562,e11:+0.022;e15*:+0.041
2301,ultrachat,TB,2,22,2,69,0.41,ADMIT,0.157,,0.463,e39:-0.059;e67*:-0.212
2302,metamath,TB,3,11,1,128,0.5,ADMIT,0.201,,0.218,e79:-0.021;e83:-0.021;e4*:-0.021
2303,metamath,TB,3,10,0,128,0.52,HELDOUT,,,,e55:-0.002;e58:-0.024;e61*:+0.021
2304,ultrachat,TA,2,15,2,128,0.42,HELDOUT,,,,e72:-0.033;e78*:-0.033
2305,github_code,TB,2,6,1,67,0.6,HELDOUT,,,,e18:-0.090;e19*:-0.089
2306,python_instructions,TB,2,6,1,108,0.61,ADMIT,0.023,,0.285,e59:-0.024;e63*:-0.011
2307,slimorca,TA,2,25,2,42,0.42,ADMIT,0.035,,1.359,e80:+0.110;e82*:+0.110
2308,python_instructions,TB,2,5,1,128,0.61,HELDOUT,,,,e65:-0.007;e75*:-0.008
2309,slimorca,TA,2,21,3,4,0.43,ADMIT,0.488,-0.148,0.875,e87:-1.078;e9*:-0.609
2310,python_instructions,TA,2,6,1,66,0.6,ADMIT,0.037,,0.684,e79:+0.096;e83*:+0.051
2311,camel_science,TA,3,6,2,3,0.45,REFUSE,,,0.0,e89:-0.042;e11:-0.042;e15*:-0.042
2312,metamath,TB,3,11,3,128,0.45,ADMIT,0.329,,0.277,e35:-0.038;e38:-0.096;e41*:-0.146
2313,python_instructions,TB,3,9,1,88,0.6,ADMIT,0.031,,0.617,e4:-0.001;e18:-0.001;e19*:-0.021
2314,github_code,TB,3,9,1,74,0.6,ADMIT,0.2,,0.363,e59:+0.030;e63:+0.029;e65*:-0.007
2315,python_instructions,TB,3,9,1,47,0.61,ADMIT,0.033,0.007,0.457,e75:-0.150;e79:+0.037;e83*:+0.028
2316,metamath,TB,3,9,1,128,0.57,ADMIT,0.308,-0.0,0.097,e4:+0.005;e18:+0.014;e19*:+0.009
2317,ultrachat,TB,2,25,2,128,0.39,ADMIT,0.008,,1.055,e39:-0.003;e67*:-0.019
2318,gsm8k,TA,3,8,3,128,0.5,HELDOUT,,,,e56:-0.057;e71:-0.034;e74*:-0.034
2319,ai2_arc,TA,3,7,2,2,0.38,REFUSE,,,0.0,e72:-0.688;e78:-0.062;e80*:-1.281
2320,gsm8k,TA,3,8,3,64,0.53,ADMIT,1.338,-0.0,0.523,e86:-0.048;e87:-0.160;e29*:-0.205
2321,gsm8k,TB,3,13,0,128,0.48,HELDOUT,,,,e96:-0.028;e97:-0.034;e14*:-0.024
2322,gsm8k,TB,3,9,0,106,0.55,ADMIT,0.429,,0.289,e31:-0.061;e40:-0.061;e44*:-0.067
2323,gsm8k,TB,3,10,3,128,0.46,ADMIT,0.087,0.003,1.031,e35:-0.099;e38:-0.106;e41*:-0.099
2324,slimorca,TB,2,23,2,34,0.4,ADMIT,0.213,0.026,0.215,e82:-0.131;e89*:-0.125
2325,ultrachat,TA,2,34,2,128,0.4,ADMIT,0.042,,1.039,e9:-0.026;e11*:-0.040
2326,python_instructions,TB,3,6,1,35,0.57,ADMIT,0.127,,0.543,e59:+0.018;e63:+0.018;e65*:+0.036
2327,python_instructions,TB,3,8,1,80,0.6,ADMIT,0.058,,0.379,e75:-0.086;e79:-0.034;e83*:-0.024
2328,gsm8k,TB,3,13,0,128,0.48,HELDOUT,,,,e55:-0.069;e58:-0.098;e61*:-0.120
2329,github_code,TB,3,6,1,27,0.61,ADMIT,0.192,-0.009,0.436,e4:+0.106;e18:+0.118;e19*:+0.095
2330,slimorca,TA,2,29,2,56,0.44,ADMIT,0.043,,0.361,e15:-0.041;e39*:-0.055
2331,slimorca,TB,3,13,2,128,0.43,ADMIT,0.574,-0.005,1.008,e67:-0.142;e72:-0.042;e78*:-0.050
2332,slimorca,TB,2,29,3,128,0.45,HELDOUT,,,,e56:-0.009;e71*:-0.046
2333,ai2_arc,TA,3,10,2,3,0.61,REFUSE,,,0.0,e82:-0.271;e89:-0.167;e9*:-0.042
2334,metamath,TB,3,11,0,128,0.43,ADMIT,0.552,,0.238,e96:-0.081;e97:-0.081;e14*:-0.081
2335,gsm8k,TB,3,12,0,128,0.53,ADMIT,0.061,0.003,0.598,e31:-0.006;e40:+0.012;e44*:-0.009
2336,metamath,TB,3,10,3,113,0.49,ADMIT,0.132,-0.0,0.094,e74:-0.067;e86:-0.044;e87*:-0.027
2337,ultrachat,TA,3,26,2,21,0.43,HELDOUT,,,,e11:-0.193;e15:-0.455;e39*:-0.068
2338,slimorca,TB,3,14,1,128,0.48,ADMIT,1.287,,0.766,e55:+0.031;e58:+0.015;e61*:+0.022
2339,python_instructions,TB,3,12,1,128,0.59,ADMIT,0.099,,1.32,e59:-0.007;e63:-0.011;e65*:-0.008
2340,gsm8k,TA,3,11,3,112,0.54,ADMIT,0.495,,0.303,e35:-0.123;e38:-0.048;e41*:-0.090
2341,gsm8k,TB,3,9,3,128,0.48,HELDOUT,,,,e56:-0.036;e71:-0.005;e74*:-0.009
2342,camel_science,TB,3,6,2,4,0.55,ADMIT,0.215,-0.013,3.469,e67:+0.547;e72:+0.625;e78*:+0.656
2343,metamath,TA,3,13,3,128,0.44,ADMIT,0.365,0.001,0.214,e86:-0.021;e87:-0.032;e89*:-0.032
