batch,source,timeline,k,k_wanted,home,M,rho,verdict,gate_loss,expert_loss,central_loss,deltas
1915,gsm8k,TA,2,8,3,87,0.49,ADMIT,0.043,,0.439,e35:-0.134;e38*:-0.048
1916,python_instructions,TB,2,7,1,20,0.6,ADMIT,0.281,0.03,0.447,e18:-0.034;e19*:-0.047
1917,python_instructions,TB,2,6,1,68,0.59,HELDOUT,,,,e59:+0.002;e63*:+0.001
1918,metamath,TB,2,13,3,128,0.45,HELDOUT,,,,e56:+0.006;e74*:-0.018
1919,ai2_arc,TB,2,10,2,1,0.37,REFUSE,,,4.875,e41:-1.000;e67*:-3.562
1920,ultrachat,TA,2,79,1,128,0.55,ADMIT,0.103,,0.742,e65:-0.042;e75*:+0.106
1921,ai2_arc,TA,2,8,2,4,0.42,ADMIT,0.13,0.003,0.906,e72:-0.234;e78*:-0.766
1922,metamath,TB,2,9,3,87,0.45,ADMIT,0.172,-0.001,0.322,e86:-0.107;e87*:-0.091
1923,gsm8k,TB,2,11,0,128,0.54,ADMIT,0.004,-0.002,0.34,e55:-0.009;e58*:+0.012
1924,ultrachat,TB,2,47,2,128,0.4,ADMIT,0.196,-0.004,0.805,e80:-0.077;e82*:-0.038
1925,metamath,TB,2,8,1,128,0.49,HELDOUT,,,,e79:+0.010;e83*:+0.010
1926,gsm8k,TB,2,10,0,128,0.5,ADMIT,0.028,-0.0,0.361,e61:-0.062;e96*:-0.068
1927,camel_science,TA,2,8,2,2,0.6,REFUSE,,,0.469,e0:-0.156;e15*:-0.500
1928,python_instructions,TB,2,5,1,31,0.58,ADMIT,0.259,-0.005,0.469,e4:-0.147;e18*:-0.125
1929,metamath,TB,2,8,1,128,0.55,HELDOUT,,,,e19:-0.053;e59*:-0.053
1930,github_code,TB,2,7,1,62,0.6,HELDOUT,,,,e63:-0.010;e65*:-0.009
1931,gsm8k,TA,2,8,0,83,0.5,ADMIT,0.036,-0.019,0.303,e97:-0.160;e14*:-0.154
1932,camel_science,TA,2,4,2,3,0.44,REFUSE,,,0.167,e17:-0.812;e41*:-0.812
1933,metamath,TB,2,8,1,122,0.54,HELDOUT,,,,e75:-0.060;e79*:-0.052
1934,ultrachat,TA,2,43,2,107,0.36,ADMIT,0.107,,1.188,e67:-0.010;e72*:-0.016
1935,python_instructions,TB,2,6,1,128,0.6,ADMIT,0.125,0.001,0.555,e83:-0.024;e4*:-0.024
1936,slimorca,TB,3,13,2,45,0.37,ADMIT,0.232,,1.062,e78:-0.233;e80:-0.172;e82*:-0.233
1937,ai2_arc,TA,2,8,2,4,0.42,HELDOUT,,,,e0:-0.438;e15*:-0.906
1938,ultrachat,TA,3,54,2,128,0.37,ADMIT,1.558,,1.359,e17:-0.049;e41:-0.040;e67*:-0.047
1939,ultrachat,TB,3,41,2,128,0.4,ADMIT,0.212,,1.281,e72:+0.033;e78:-0.004;e80*:-0.012
1940,slimorca,TB,3,10,2,128,0.43,ADMIT,0.516,0.004,1.039,e82:+0.025;e0:+0.030;e15*:+0.011
1941,ai2_arc,TB,3,10,2,7,0.4,HELDOUT,,,,e17:-0.277;e41:-0.321;e67*:-0.277
1942,python_instructions,TB,2,5,1,112,0.58,ADMIT,0.005,,0.797,e18:-0.001;e19*:-0.002
1943,python_instructions,TB,3,11,1,87,0.6,ADMIT,0.144,,0.247,e59:-0.038;e63:+0.042;e65*:+0.021
1944,github_code,TB,3,13,1,80,0.6,ADMIT,0.914,0.002,0.578,e75:-0.009;e79:-0.008;e83*:-0.029
1945,github_code,TB,2,8,1,112,0.6,HELDOUT,,,,e4:+0.026;e18*:+0.002
1946,github_code,TB,2,10,1,17,0.6,ADMIT,0.472,-0.025,0.258,e19:-0.434;e59*:-0.062
1947,gsm8k,TB,2,11,3,56,0.47,ADMIT,0.148,0.003,0.438,e89:-0.025;e9*:-0.017
1948,ultrachat,TA,3,54,3,128,0.41,ADMIT,0.761,,1.539,e11:+0.073;e35:+0.063;e38*:+0.048
1949,gsm8k,TB,2,11,0,128,0.51,ADMIT,2.403,,0.443,e31:-0.026;e40*:-0.037
1950,metamath,TB,2,10,0,128,0.45,ADMIT,4.192,0.014,0.202,e44:-0.096;e55*:-0.021
1951,camel_science,TA,2,6,2,2,0.6,REFUSE,,,0.062,e72:-1.375;e78*:-0.812
1952,slimorca,TA,3,15,2,39,0.39,HELDOUT,,,,e80:-0.002;e82:-0.008;e0*:+0.048
1953,slimorca,TB,3,18,2,60,0.36,ADMIT,0.103,-0.001,1.492,e15:-0.136;e17:-0.077;e41*:-0.049
1954,metamath,TB,3,14,3,128,0.44,ADMIT,1.125,-0.0,0.083,e56:-0.019;e74:-0.049;e86*:-0.042
1955,python_instructions,TB,2,8,1,128,0.55,ADMIT,0.962,,0.566,e63:-0.005;e65*:-0.001
1956,python_instructions,TB,2,6,2,128,0.44,ADMIT,0.343,0.013,1.273,e67:-0.060;e72*:-0.046
1957,camel_science,TA,2,6,2,2,0.48,REFUSE,,,0.938,e78:-1.219;e80*:+0.219
1958,camel_science,TA,2,6,2,3,0.52,REFUSE,,,0.459,e82:-0.521;e0*:-0.521
1959,ai2_arc,TB,3,15,2,8,0.39,ADMIT,0.072,-0.001,0.234,e15:-0.234;e17:-0.445;e41*:-0.250
1960,metamath,TA,2,11,0,128,0.45,ADMIT,2.179,0.007,0.227,e58:-0.043;e61*:-0.072
1961,slimorca,TB,2,12,1,128,0.53,ADMIT,0.708,,0.773,e75:-0.003;e79*:-0.059
1962,python_instructions,TB,2,10,1,128,0.6,HELDOUT,,,,e83:+0.016;e4*:+0.009
1963,slimorca,TB,3,14,2,128,0.44,ADMIT,0.267,0.009,0.52,e67:-0.113;e72:-0.070;e78*:-0.100
1964,github_code,TB,2,5,1,87,0.6,ADMIT,0.706,-0.004,0.348,e18:+0.002;e19*:-0.008
1965,github_code,TA,2,2,2,74,0.54,ADMIT,0.303,0.004,1.766,e80:-0.037;e82*:-0.052
1966,ai2_arc,TA,4,8,2,10,0.36,ADMIT,0.248,0.001,0.125,e0:-0.662;e15:-0.600;e17:-0.181;e41*:-0.662
1967,gsm8k,TB,4,9,0,128,0.53,HELDOUT,,,,e96:-0.068;e97:-0.101;e14:-0.058;e31*:-0.081
1968,camel_science,TA,3,3,2,4,0.6,ADMIT,0.356,-0.104,0.312,e67:+0.062;e72:+0.172;e78*:+0.062
1969,github_code,TB,2,3,1,80,0.6,ADMIT,0.159,,0.373,e59:-0.018;e63*:-0.024
1970,ultrachat,TB,2,28,3,108,0.4,HELDOUT,,,,e87:-0.092;e89*:-0.069
1971,camel_science,TA,2,3,2,1,0.6,HELDOUT,,,,e80:-1.750;e82*:-1.750
1972,python_instructions,TB,2,6,1,34,0.6,ADMIT,0.992,0.015,0.898,e65:-0.105;e75*:-0.046
1973,python_instructions,TA,2,4,1,26,0.59,ADMIT,0.581,,0.482,e79:-0.005;e83*:+0.010
1974,camel_science,TA,2,4,2,2,0.48,REFUSE,,,0.062,e0:-0.281;e15*:-0.156
1975,ultrachat,TA,2,20,2,128,0.38,ADMIT,0.822,,1.555,e17:-0.075;e41*:-0.031
1976,metamath,TB,2,6,1,128,0.53,HELDOUT,,,,e4:+0.027;e18*:-0.004
1977,metamath,TA,2,5,0,128,0.5,ADMIT,0.959,-0.013,0.387,e40:-0.040;e44*:-0.040
1978,camel_science,TB,2,2,2,6,0.6,HELDOUT,,,,e67:+0.208;e72*:+0.188
1979,ultrachat,TA,2,13,2,128,0.4,ADMIT,0.112,,1.422,e78:-0.021;e80*:-0.022
1980,python_instructions,TB,2,5,1,20,0.6,ADMIT,0.021,,0.334,e19:-0.053;e59*:-0.119
